order_id,customer_id,product_id,order_date,quantity,total_amount
5001,70,181,2025-08-09,2,1702
5002,96,175,2025-06-25,1,1924
5003,999999,195,2025-04-14,2,-100
5004,55,140,2025-02-24,5,3430
5005,151,165,2025-08-05,5,7820
5006,22,106,2025-06-11,2,2594
5007,159,133,2025-07-05,5,6010
5008,166,189,2025-05-03,3,1632
5009,99,180,2025-03-28,4,2236
5010,48,188,2024-12-30,3,345
5011,71,183,2024-12-04,2,3450
5012,137,159,2025-08-29,3,-100
5013,103,137,2025-09-08,3,1098
5014,142,104,2025-10-10,5,9120
5015,76,188,2025-01-09,4,708
5016,167,128,2026-02-03,3,3579
5017,147,190,2025-09-24,2,3552
5018,151,170,2025-05-17,5,abc
5019,126,112,2025-11-01,2,abc
5020,10,128,2025-04-27,4,4772
5021,43,132,2025-02-26,5,-100
5022,65,180,2025-02-23,2,1118
5023,70,186,2025-08-26,3,3564
5024,152,144,2024-11-07,4,1884
5025,175,134,2025-09-19,5,-250
5026,5,122,2025-11-07,3,2982
5027,70,142,2025-03-03,2,1282
5028,70,143,2025-07-16,2,250
5029,109,153,2025-06-05,5,6565
5030,199,168,2025-10-18,1,1409
5031,53,146,2025-07-14,2,368
5032,95,102,2025-08-22,3,3180
5033,90,149,2025-02-26,5,5175
5034,89,157,2024-12-10,3,3345
5035,132,162,2024-11-30,2,84
5036,119,193,2025-03-08,4,2612
5037,50,172,2025-05-18,5,3815
5038,123,142,2025-01-22,3,1923
5039,191,172,2025-05-02,2,1526
5040,184,112,2025-06-06,4,5404
5041,120,102,2025-10-03,4,4240
5042,135,180,2025-07-30,3,1677
5043,192,200,2025-07-12,1,797
5044,9,131,2025-09-16,3,255
5045,999999,181,2025-10-26,4,3404
5046,61,180,2025-05-14,4,2236
5047,60,165,2025-01-23,2,3128
5048,166,133,2024-11-27,4,4808
5049,80,191,2025-07-25,1,451
5050,77,149,2025-01-21,2,-100
5051,138,190,2025-10-09,5,8880
5052,114,191,2025-01-01,5,1895
5053,99,115,2025-08-31,5,5395
5054,87,112,2025-08-07,5,6755
5055,134,131,2025-07-10,4,200
5056,999999,176,2025-01-18,4,6388
5057,46,190,2025-05-30,4,7104
5058,68,195,2025-04-28,2,2676
5059,127,120,2025-08-22,3,abc
5060,178,101,2025-08-13,4,4608
5061,192,183,2025-04-30,1,abc
5062,999999,113,2025-03-15,1,715
5063,197,168,2025-09-29,2,2818
5064,135,155,2025-06-30,5,8045
5065,64,187,2025-03-28,1,277
5066,81,178,2025-01-31,4,3632
5067,181,144,2024-12-03,2,942
5068,57,172,2025-01-17,5,3815
5069,182,111,2024-12-24,2,946
5070,148,184,2024-12-24,1,710
5071,72,131,2025-08-29,1,155
5072,999999,142,2024-12-03,3,1923
5073,999999,106,2025-10-01,3,3891
5074,193,121,2025-09-24,4,6620
5075,999999,175,2025-07-26,2,3848
5076,133,171,2025-06-25,5,1110
5077,168,195,2024-12-04,3,4014
5078,139,115,2025-08-05,3,3237
5079,114,109,2025-09-24,2,-100
5080,168,114,2025-03-27,1,1169
5081,39,197,2025-08-04,5,9250
5082,174,142,2025-07-13,1,641
5083,75,185,2025-01-05,5,5495
5084,24,192,2024-10-30,3,924
5085,57,155,2025-10-02,5,8045
5086,23,194,2025-09-08,5,-100
5087,128,104,2025-03-06,5,9120
5088,161,175,2025-02-12,5,9620
5089,26,102,2025-07-02,1,1060
5090,999999,196,2025-06-04,5,2940
5091,130,161,2025-06-27,5,4100
5092,78,173,2025-09-01,4,1200
5093,58,182,2025-04-01,4,abc
5094,181,194,2025-08-20,4,60
5095,130,129,2025-09-04,4,3956
5096,188,124,2025-08-17,5,2440
5097,153,108,2025-04-14,2,1134
5098,102,196,2024-12-06,5,2940
5099,156,139,2025-10-26,4,932
5100,138,126,2025-03-21,2,236
5101,85,142,2025-09-19,4,2564
5102,125,183,2025-10-09,5,8625
5103,141,150,2025-01-28,3,3327
5104,117,113,2025-02-04,2,1430
5105,121,199,2025-05-23,1,100
5106,157,137,2025-04-16,3,1098
5107,195,199,2024-11-15,3,2046
5108,49,149,2025-06-10,4,4140
5109,116,187,2025-04-23,3,831
5110,72,141,2025-01-16,3,249
5111,999999,117,2024-12-28,5,3230
5112,171,143,2025-09-15,1,125
5113,16,119,2024-10-27,3,4527
5114,158,162,2025-09-09,4,168
5115,134,129,2025-04-03,4,3956
5116,113,103,2025-04-24,5,6460
5117,19,164,2025-08-14,1,1674
5118,62,181,2024-12-20,1,851
5119,44,196,2025-09-10,3,1764
5120,53,121,2025-01-27,4,6620
5121,40,131,2025-05-30,2,932
5122,76,101,2025-01-19,1,1152
5123,63,107,2025-04-08,3,4332
5124,999999,122,2025-05-13,4,3976
5125,187,142,2025-04-17,3,1923
5126,14,152,2025-09-08,1,314
5127,55,142,2025-07-05,5,3205
5128,61,133,2025-01-16,3,300
5129,195,182,2025-08-25,5,6110
5130,44,114,2024-12-13,3,3507
5131,2,127,2024-12-23,5,280
5132,128,110,2025-05-19,2,38
5133,118,121,2024-11-01,5,8275
5134,125,126,2025-10-12,3,354
5135,23,102,2025-02-08,3,3180
5136,190,172,2025-10-14,5,3815
5137,101,194,2025-08-13,4,1256
5138,90,159,2025-02-20,5,8825
5139,53,144,2025-09-06,2,942
5140,161,126,2025-09-30,1,118
5141,40,116,2025-08-10,4,4732
5142,53,153,2025-10-07,5,6565
5143,23,150,2024-12-25,4,4436
5144,179,182,2025-09-03,3,3666
5145,161,109,2025-01-08,4,-200
5146,61,181,2024-12-09,4,3404
5147,96,137,2026-01-10,4,abc
5148,48,102,2025-08-09,2,2120
5149,119,124,2025-08-19,5,640
5150,181,175,2025-01-22,2,3848
5151,53,118,2025-07-30,3,3750
5152,999999,155,2025-08-03,1,1609
5153,96,107,2025-10-09,2,2888
5154,35,172,2025-03-09,2,1526
5155,109,189,2025-05-25,1,544
5156,999999,139,2024-12-22,3,699
5157,3,162,2025-08-03,1,42
5158,95,178,2025-07-01,5,4540
5159,100,110,2025-04-02,2,abc
5160,116,166,2024-11-09,3,3849
5161,108,188,2025-03-26,2,680
5162,183,197,2024-12-28,3,5550
5163,156,192,2025-08-12,5,2095
5164,97,101,2025-11-23,2,2304
5165,999999,105,2025-07-27,5,8235
5166,134,108,2025-07-04,1,567
5167,68,103,2025-06-28,2,2584
5168,76,196,2025-04-26,3,1764
5169,98,187,2025-09-24,1,277
5170,42,122,2025-03-29,1,100
5171,20,159,2025-06-16,5,8825
5172,129,199,2025-01-25,3,2046
5173,197,179,2025-05-07,5,6745
5174,14,143,2025-05-12,1,125
5175,44,142,2025-07-18,2,1282
5176,168,114,2025-11-22,3,3507
5177,999999,130,2025-09-07,4,5948
5178,134,150,2025-03-18,4,4436
5179,5,117,2025-04-12,1,646
5180,999999,146,2025-10-01,2,204
5181,141,189,2025-08-05,4,2176
5182,89,138,2025-05-29,1,1303
5183,120,148,2024-12-05,3,4710
5184,12,179,2024-11-10,5,6745
5185,17,143,2025-06-04,2,250
5186,133,103,2024-10-31,5,6460
5187,6,154,2025-07-27,2,168
5188,158,154,2025-08-28,5,1630
5189,68,119,2025-08-05,1,1509
5190,175,116,2025-06-30,2,2366
5191,81,139,2025-05-30,1,233
5192,7,147,2024-12-15,1,91
5193,999999,140,2025-10-21,5,3430
5194,77,145,2025-01-06,3,2793
5195,103,142,2025-06-30,1,641
5196,189,122,2025-01-05,5,4970
5197,132,112,2025-01-28,1,1351
5198,162,190,2025-04-29,5,8880
5199,19,141,2025-10-05,3,159
5200,135,125,2025-10-08,1,-50
5201,89,118,2025-10-03,4,5000
5202,180,106,2025-03-11,3,3891
5203,59,123,2025-06-23,1,171
5204,17,144,2025-07-28,2,942
5205,999999,179,2025-07-10,1,1349
5206,8,112,2025-01-13,4,5404
5207,31,143,2025-03-28,4,500
5208,154,122,2025-01-17,1,994
5209,129,191,2025-02-13,2,364
5210,78,156,2025-06-04,1,1316
5211,184,196,2025-01-23,1,588
5212,102,107,2025-09-03,3,4332
5213,61,198,2025-03-28,5,-250
5214,999999,160,2025-06-12,1,431
5215,195,120,2025-01-03,4,440
5216,5,129,2025-01-27,4,3956
5217,119,188,2025-06-09,4,60
5218,139,171,2025-01-15,1,222
5219,140,166,2025-08-15,1,1283
5220,82,122,2025-09-08,2,1988
5221,41,184,2025-03-20,3,2130
5222,999999,192,2025-09-02,2,718
5223,14,116,2024-11-21,3,3549
5224,1,139,2025-07-27,1,233
5225,31,137,2025-03-16,4,1464
5226,95,174,2025-02-10,1,1224
5227,200,174,2025-10-05,4,4896
5228,49,137,2025-07-09,4,1464
5229,8,178,2025-06-04,4,-100
5230,192,174,2025-10-18,1,1224
5231,196,167,2025-08-09,2,2514
5232,24,115,2024-11-24,4,4316
5233,105,101,2025-01-08,2,2304
5234,178,182,2025-07-17,1,1222
5235,129,115,2025-04-08,4,4316
5236,178,103,2024-12-01,4,5168
5237,168,103,2025-09-27,4,5168
5238,78,107,2024-12-18,4,5776
5239,113,192,2025-08-06,4,-100
5240,182,188,2025-08-26,2,366
5241,83,132,2024-12-22,4,720
5242,70,141,2024-12-31,4,616
5243,198,110,2025-02-17,3,57
5244,152,116,2025-03-23,2,2366
5245,161,157,2025-10-12,5,5575
5246,9,119,2025-06-14,3,4527
5247,999999,149,2025-07-20,2,2070
5248,106,143,2025-09-10,2,abc
5249,999999,160,2025-12-10,2,862
5250,154,145,2025-10-20,1,931
5251,199,180,2025-04-25,2,1118
5252,999999,167,2025-03-30,4,5028
5253,8,188,2024-11-05,2,188
5254,999999,164,2024-10-31,2,3348
5255,8,182,2025-08-07,5,6110
5256,189,175,2025-06-25,5,9620
5257,19,182,2025-05-05,4,4888
5258,91,148,2025-03-13,4,6280
5259,47,188,2025-06-11,2,674
5260,67,102,2025-08-23,1,1060
5261,119,159,2024-11-26,3,5295
5262,195,163,2025-09-04,4,5636
5263,44,126,2024-10-28,3,-100
5264,62,176,2025-03-17,1,1597
5265,11,168,2025-07-07,1,1409
5266,100,119,2025-02-10,1,1509
5267,60,181,2025-09-09,1,851
5268,190,163,2025-02-13,5,7045
5269,999999,144,2025-09-08,1,471
5270,14,166,2025-10-13,1,1283
5271,999999,108,2025-05-10,2,1134
5272,999999,102,2025-03-23,2,2120
5273,73,126,2025-07-19,1,118
5274,184,104,2024-11-04,4,7296
5275,4,157,2025-08-04,5,5575
5276,96,181,2025-10-04,4,3404
5277,74,190,2025-05-08,1,1776
5278,156,125,2025-09-02,4,-200
5279,167,197,2024-11-15,3,5550
5280,170,110,2025-03-14,5,95
5281,7,119,2025-10-19,1,1509
5282,26,131,2025-05-15,3,276
5283,115,120,2025-01-23,5,1235
5284,999999,164,2025-09-10,1,1674
5285,112,193,2025-07-30,3,1959
5286,999999,197,2025-08-17,2,3700
5287,46,153,2025-07-24,5,6565
5288,158,147,2025-08-14,1,91
5289,156,137,2025-05-24,1,366
5290,104,149,2024-12-11,4,4140
5291,80,136,2025-02-08,4,1124
5292,65,163,2025-09-13,5,7045
5293,999999,113,2025-04-15,5,3575
5294,27,170,2025-07-30,3,5493
5295,43,102,2025-07-25,4,4240
5296,137,144,2025-07-17,1,471
5297,120,198,2024-12-05,3,abc
5298,43,164,2024-11-21,1,1674
5299,136,159,2024-11-11,5,8825
5300,172,131,2025-10-25,5,805
5301,116,129,2025-10-01,4,3956
5302,75,144,2025-04-13,4,1884
5303,999999,131,2025-09-21,2,350
5304,10,148,2024-11-19,5,7850
5305,50,149,2025-05-25,3,3105
5306,126,167,2025-10-17,4,5028
5307,102,151,2025-10-12,3,5355
5308,161,184,2025-01-18,2,1420
5309,122,110,2025-07-04,3,57
5310,102,112,2025-03-21,4,5404
5311,114,170,2025-06-11,3,5493
5312,95,118,2025-10-15,4,5000
5313,54,183,2025-03-16,5,8625
5314,11,178,2025-09-30,2,1816
5315,999999,150,2025-07-23,2,2218
5316,173,189,2024-11-15,2,1088
5317,84,185,2025-06-10,3,3297
5318,999999,183,2025-06-18,1,1725
5319,54,164,2025-03-29,2,3348
5320,176,167,2025-10-03,5,6285
5321,24,139,2025-09-04,1,abc
5322,32,170,2025-07-16,2,abc
5323,38,157,2025-01-04,4,4460
5324,51,106,2025-03-11,1,1297
5325,999999,115,2024-12-13,3,3237
5326,999999,172,2025-06-05,3,2289
5327,121,175,2025-05-21,1,1924
5328,999999,105,2025-02-06,4,6588
5329,39,190,2025-02-21,2,3552
5330,77,187,2024-11-13,5,1385
5331,65,157,2025-03-06,4,400
5332,38,119,2025-05-24,2,3018
5333,155,123,2025-09-27,3,513
5334,178,198,2025-09-30,4,-200
5335,94,138,2024-11-15,4,5212
5336,19,118,2025-06-27,1,abc
5337,121,157,2025-05-12,5,5575
5338,82,131,2025-10-21,3,1374
5339,112,112,2025-06-06,5,6755
5340,102,188,2025-10-20,5,715
5341,121,190,2026-02-14,3,5328
5342,67,157,2025-07-31,1,1115
5343,96,116,2024-11-22,3,3549
5344,43,152,2025-04-20,1,46
5345,95,195,2025-10-20,5,6690
5346,9,122,2025-05-09,3,2982
5347,20,132,2025-04-19,1,180
5348,84,155,2025-01-09,2,3218
5349,90,154,2026-08-30,1,121
5350,98,136,2025-04-14,1,281
5351,103,141,2025-10-14,2,-100
5352,125,196,2025-03-01,3,1764
5353,999999,194,2024-12-22,4,632
5354,71,163,2025-05-02,5,7045
5355,93,117,2025-05-26,5,500
5356,144,115,2025-09-28,3,3237
5357,37,108,2025-05-29,3,1701
5358,105,171,2025-01-20,1,abc
5359,121,197,2025-05-10,5,9250
5360,195,145,2024-12-20,3,2793
5361,8,157,2025-08-07,2,2230
5362,167,141,2024-11-10,1,460
5363,85,182,2025-02-16,2,2444
5364,11,131,2024-12-08,2,794
5365,86,139,2024-12-27,2,466
5366,106,148,2025-10-08,4,abc
5367,61,169,2024-11-08,1,abc
5368,65,162,2024-11-05,5,210
5369,999999,169,2025-10-15,5,3745
5370,156,152,2025-04-20,2,596
5371,154,152,2024-11-12,5,570
5372,186,106,2025-07-07,1,1297
5373,4,175,2025-08-11,2,-100
5374,163,103,2025-04-29,1,1292
5375,158,141,2024-11-25,5,-100
5376,86,167,2025-05-13,2,-100
5377,101,108,2025-04-15,3,1701
5378,29,193,2025-07-08,3,1959
5379,90,114,2025-01-07,2,2338
5380,99,181,2025-05-31,1,851
5381,111,144,2024-12-22,4,1884
5382,168,143,2025-12-22,5,625
5383,66,123,2025-10-19,5,855
5384,184,121,2025-06-25,5,abc
5385,999999,105,2025-08-11,5,8235
5386,159,166,2025-10-15,2,2566
5387,97,158,2025-09-08,1,1347
5388,165,115,2025-01-14,3,3237
5389,999999,133,2025-07-26,1,1202
5390,189,125,2025-07-13,1,-50
5391,128,142,2025-10-10,3,1923
5392,84,197,2024-11-18,2,3700
5393,65,141,2025-04-15,5,1905
5394,176,128,2025-01-28,3,3579
5395,999999,168,2025-01-13,4,5636
5396,44,130,2025-06-02,1,1487
5397,22,149,2025-04-15,4,4140
5398,131,192,2025-08-12,3,951
5399,17,149,2025-10-10,5,5175
5400,76,194,2025-05-30,2,214
5401,168,122,2025-03-04,4,3976
5402,42,157,2025-09-30,4,4460
5403,999999,117,2025-10-12,2,1292
5404,28,182,2025-08-07,5,6110
5405,19,123,2025-07-04,1,171
5406,999999,167,2024-12-03,3,3771
5407,74,104,2025-10-08,4,7296
5408,88,196,2025-01-25,4,2352
5409,47,105,2025-03-03,1,1647
5410,114,168,2025-04-06,3,4227
5411,137,147,2024-11-27,2,182
5412,999999,199,2025-02-26,2,1364
5413,178,147,2025-02-01,4,364
5414,17,111,2025-07-19,3,1419
5415,91,166,2025-09-18,4,5132
5416,999999,187,2025-06-06,1,277
5417,182,106,2025-03-05,5,-100
5418,999999,181,2025-01-30,2,1702
5419,90,168,2025-07-22,1,1409
5420,120,168,2025-07-21,1,1409
5421,100,197,2024-12-15,1,1850
5422,24,115,2025-10-06,1,1079
5423,19,102,2025-01-20,5,5300
5424,130,161,2025-01-12,5,4100
5425,27,154,2024-12-14,4,484
5426,999999,156,2025-04-27,3,3948
5427,134,141,2025-01-28,5,1085
5428,8,163,2025-01-01,2,2818
5429,28,184,2025-07-21,4,2840
5430,95,130,2025-03-14,4,5948
5431,45,155,2025-02-27,4,6436
5432,158,132,2025-06-04,5,-100
5433,121,182,2024-10-31,4,4888
5434,171,113,2025-07-30,5,3575
5435,999999,156,2025-07-12,4,5264
5436,64,154,2025-10-06,4,536
5437,89,192,2025-07-14,1,37
5438,13,182,2025-06-21,3,3666
5439,82,130,2025-05-24,5,7435
5440,199,102,2026-06-05,5,5300
5441,122,179,2025-10-04,1,1349
5442,25,115,2024-10-30,2,2158
5443,81,159,2025-06-17,1,1765
5444,153,150,2026-05-30,2,2218
5445,192,133,2025-02-24,4,4808
5446,75,141,2025-03-27,4,1016
5447,66,120,2025-02-03,3,987
5448,999999,169,2025-05-30,5,3745
5449,175,124,2025-09-14,2,260
5450,165,145,2025-02-03,3,2793
5451,190,165,2025-08-09,1,1564
5452,999999,107,2025-05-04,2,2888
5453,999999,153,2025-09-26,3,3939
5454,116,198,2025-07-15,4,-200
5455,141,107,2025-02-26,5,7220
5456,25,117,2025-01-01,1,646
5457,123,168,2025-03-26,1,1409
5458,195,169,2024-11-28,2,1498
5459,12,151,2025-01-24,5,8925
5460,132,109,2025-08-14,1,-50
5461,999999,127,2024-12-02,5,1075
5462,171,139,2025-09-29,4,932
5463,999999,190,2025-05-31,1,1776
5464,23,103,2025-03-04,5,6460
5465,32,129,2025-08-15,1,-100
5466,51,153,2025-03-22,1,1313
5467,125,190,2025-11-06,4,400
5468,68,185,2025-08-04,4,4396
5469,186,176,2025-10-26,4,6388
5470,52,171,2025-08-26,2,444
5471,177,159,2025-05-05,4,7060
5472,155,168,2025-03-29,4,5636
5473,146,154,2025-12-04,2,478
5474,33,108,2025-04-05,4,2268
5475,189,106,2025-02-26,1,1297
5476,101,199,2025-03-01,1,682
5477,141,106,2025-02-28,1,1297
5478,178,130,2025-07-09,3,4461
5479,141,179,2024-12-15,4,5396
5480,129,155,2025-07-19,4,6436
5481,26,124,2025-06-07,3,936
5482,176,198,2025-05-29,4,-200
5483,195,128,2025-02-22,2,2386
5484,76,190,2025-03-23,2,3552
5485,999999,173,2024-12-19,5,2405
5486,999999,120,2024-12-25,1,-100
5487,165,165,2025-07-12,4,6256
5488,185,144,2025-01-28,2,942
5489,144,161,2025-08-07,5,4100
5490,130,195,2024-11-28,5,6690
5491,112,163,2025-04-11,5,abc
5492,164,113,2025-03-17,3,2145
5493,195,107,2025-04-12,5,7220
5494,2,198,2025-01-03,3,-150
5495,123,102,2025-10-18,3,3180
5496,84,157,2026-07-02,5,5575
5497,155,157,2025-09-02,4,4460
5498,160,139,2025-02-14,1,233
5499,102,134,2025-04-28,5,-250
5500,92,134,2024-12-23,4,-100
5501,146,158,2025-05-26,4,5388
5502,139,119,2025-08-03,5,7545
5503,110,122,2025-06-15,5,4970
5504,168,169,2025-10-02,1,749
5505,25,125,2025-06-08,2,-100
5506,126,176,2025-07-19,5,7985
5507,162,165,2025-05-11,4,6256
5508,9,169,2025-03-13,1,749
5509,999999,146,2025-02-19,3,1134
5510,88,145,2025-03-14,2,1862
5511,999999,139,2025-06-01,3,699
5512,164,108,2024-11-11,1,567
5513,999999,164,2025-04-13,3,5022
5514,139,134,2025-05-24,5,-250
5515,15,162,2025-04-01,2,84
5516,75,129,2025-07-27,3,300
5517,74,155,2025-01-22,1,1609
5518,114,179,2025-02-04,1,1349
5519,174,120,2025-10-22,4,580
5520,77,116,2025-06-08,3,3549
5521,9,167,2024-11-16,4,5028
5522,150,192,2025-01-17,5,2110
5523,160,105,2025-04-03,3,4941
5524,112,110,2024-11-20,1,abc
5525,100,138,2025-05-13,1,1303
5526,194,168,2025-06-11,1,1409
5527,82,130,2025-06-20,5,7435
5528,102,199,2025-02-28,5,3410
5529,1,160,2025-08-01,1,431
5530,43,128,2025-03-25,4,4772
5531,135,183,2025-10-29,4,6900
5532,169,170,2025-09-30,5,9155
5533,3,177,2025-06-23,3,1509
5534,9,181,2025-07-04,4,3404
5535,108,117,2024-11-28,4,2584
5536,38,143,2025-01-15,4,500
5537,88,180,2025-10-06,4,400
5538,34,191,2025-04-06,5,60
5539,152,167,2025-01-14,5,6285
5540,162,150,2024-11-12,3,3327
5541,100,169,2025-09-30,1,749
