product_id,sku,product_name,category,price
101,P101,Process,Apparel,1152
102,P102,High,Accessories,1060
103,P103,Act,Accessories,1292
104,P104,At,Electronics,1824
105,P105,Affect,Apparel,1647
106,P106,Skill,Electronics,1297
107,P107,Seat,Apparel,1444
108,P108,Our,Accessories,567
109,P109,Together,Apparel,-50
110,P110,Production,Electronics,19
111,P111,Though,Apparel,473
112,P112,Successful,Apparel,1351
113,P113,Product,Electronics,715
114,P114,Letter,Accessories,1169
115,P115,Nothing,Electronics,1079
116,P116,Yard,Electronics,1183
117,P117,Usually,Apparel,646
118,P118,Number,Accessories,1250
119,P119,Fall,Accessories,1509
120,P120,,Apparel,abc
121,P121,International,Apparel,1655
122,P122,Five,Apparel,994
123,P123,Physical,Apparel,171
124,P124,Stock,Accessories,abc
125,P125,Left,Apparel,-50
126,P126,Half,Electronics,118
127,P127,Too,Apparel,
128,P128,None,Accessories,1193
129,P129,Month,Accessories,989
130,P130,Person,Accessories,1487
131,P131,Specific,Apparel,
132,P132,They,Apparel,180
133,P133,Training,Apparel,1202
134,P134,Step,Accessories,-50
135,P135,Relate,Apparel,758
136,P136,Door,Apparel,281
137,P137,Reason,Accessories,366
138,P138,Through,Electronics,1303
139,P139,Thus,Electronics,233
140,P140,Charge,Apparel,686
141,P141,We,Accessories,abc
142,P142,Second,Electronics,641
143,P143,,Accessories,125
144,P144,Figure,Apparel,471
145,P145,Eye,Apparel,931
146,P146,Want,Accessories,
147,P147,Make,Apparel,91
148,P148,Back,Apparel,1570
149,P149,Another,Electronics,1035
150,P150,Several,Apparel,1109
151,P151,Especially,Electronics,1785
152,P152,Character,Accessories,abc
153,P153,Kind,Electronics,1313
154,P154,,Electronics,abc
155,P155,Box,Apparel,1609
156,P156,Power,Accessories,1316
157,P157,Room,Apparel,1115
158,P158,East,Electronics,1347
159,P159,Bill,Electronics,1765
160,P160,Story,Accessories,431
161,P161,Practice,Electronics,820
162,P162,Over,Accessories,42
163,P163,Certain,Electronics,1409
164,P164,Summer,Apparel,1674
165,P165,Fact,Electronics,1564
166,P166,Who,Apparel,1283
167,P167,Occur,Apparel,1257
168,P168,Find,Accessories,1409
169,P169,,Electronics,749
170,P170,Manager,Apparel,1831
171,P171,Force,Apparel,222
172,P172,Type,Electronics,763
173,P173,Speech,Apparel,abc
174,P174,Protect,Accessories,1224
175,P175,Letter,Apparel,1924
176,P176,Kid,Accessories,1597
177,P177,General,Electronics,503
178,P178,Teacher,Apparel,908
179,P179,Ten,Accessories,1349
180,P180,Mr,Accessories,559
181,P181,Film,Accessories,851
182,P182,,Apparel,1222
183,P183,As,Apparel,1725
184,P184,Specific,Apparel,710
185,P185,Thing,Electronics,1099
186,P186,Light,Electronics,1188
187,P187,,Apparel,277
188,P188,Rest,Apparel,abc
189,P189,,Accessories,544
190,P190,Politics,Apparel,1776
191,P191,Agency,Apparel,
192,P192,,Apparel,
193,P193,,Apparel,653
194,P194,,Electronics,abc
195,P195,,Electronics,1338
196,P196,Tough,Accessories,588
197,P197,Human,Apparel,1850
198,P198,Evidence,Accessories,-50
199,P199,Small,Accessories,682
200,P200,Exist,Apparel,797
196,P196,Tough,Accessories,588
168,P168,Find,Accessories,1409
102,P102,High,Accessories,1060
122,P122,Five,Apparel,994
182,P182,,Apparel,1222
